FID;ID;Type;Diameter;Material;LENGTH_GEO;START_X;START_Y;MID_X;MID_Y;END_X;END_Y;INSIDE_X;INSIDE_Y
0;1;Tertiary;Φ80;UPVC Pipe;2,254261640280000;25,132336907599999;35,333133560699999;25,132333435500001;35,333123808000003;25,132329963400000;35,333114055400003;25,132333435500001;35,333123808000003
1;2;Tertiary;Φ80;UPVC Pipe;5,300098316300000;25,132329963400000;35,333114055400003;25,132320020500000;35,333091602200000;25,132310077600000;35,333069149099998;25,132320020500000;35,333091602200000
2;3;Tertiary;Φ80;UPVC Pipe;17,901134625299999;25,132310077600000;35,333069149099998;25,132214869900000;35,333048621800003;25,132119662099999;35,333028094600003;25,132214869900000;35,333048621800003
3;4;Tertiary;Φ80;UPVC Pipe;9,295176151280000;25,132119662099999;35,333028094600003;25,132072659599999;35,333011624999997;25,132025657000000;35,332995155399999;25,132072659599999;35,333011624999997
4;5;Tertiary;Φ80;UPVC Pipe;11,798472977499999;25,132025657000000;35,332995155399999;25,131970244400001;35,332967491500000;25,131914831800000;35,332939827499999;25,131970244400001;35,332967491500000
5;6;Tertiary;Φ80;UPVC Pipe;18,516166889699999;25,131914831800000;35,332939827499999;25,131834330400000;35,332888724699998;25,131753829000001;35,332837622000000;25,131834330400000;35,332888724699998
6;7;Tertiary;Φ80;UPVC Pipe;12,856632433400000;25,131753829000001;35,332837622000000;25,131696946900000;35,332803207799998;25,131640064700001;35,332768793500001;25,131696946900000;35,332803207799998
7;8;Tertiary;Φ80;UPVC Pipe;7,214770047990000;25,131640064700001;35,332768793500001;25,131606801600000;35,332751067899999;25,131573538400001;35,332733342200001;25,131606801600000;35,332751067899999
8;9;Tertiary;Φ80;UPVC Pipe;6,936238343340000;25,131573538400001;35,332733342200001;25,131538962699999;35,332720138100001;25,131504387000000;35,332706934000001;25,131538962699999;35,332720138100001
9;10;Tertiary;Φ80;UPVC Pipe;6,187804113670000;25,131504387000000;35,332706934000001;25,131471281000000;35,332700479899998;25,131438175000000;35,332694025899997;25,131471281000000;35,332700479899998
10;11;Tertiary;Φ80;UPVC Pipe;7,384990411000000;25,131438175000000;35,332694025899997;25,131397755700000;35,332690772500001;25,131357336299999;35,332687519099998;25,131397755700000;35,332690772500001
11;12;Main;Φ175;Asbestos Cement pipe;8,986540586080000;25,132336907599999;35,333133560699999;25,132288442099998;35,333125631999998;25,132239976600001;35,333117703299997;25,132288442099998;35,333125631999998
12;13;Main;Φ175;Asbestos Cement pipe;12,427180975400001;25,132239976600001;35,333117703299997;25,132172129099999;35,333124440100001;25,132104281499998;35,333131176999999;25,132172129099999;35,333124440100001
13;14;Main;Φ175;Asbestos Cement pipe;6,212993686810000;25,132104281499998;35,333131176999999;25,132070690199999;35,333136302100002;25,132037098800001;35,333141427299999;25,132070690199999;35,333136302100002
14;15;Main;Φ175;Asbestos Cement pipe;5,835366318240000;25,132494534900001;35,333181359199997;25,132464342500000;35,333172446100001;25,132434150100000;35,333163532900002;25,132464342500000;35,333172446100001
15;16;Main;Φ175;Asbestos Cement pipe;9,445647319060001;25,132434150100000;35,333163532900002;25,132385528800000;35,333148546799997;25,132336907599999;35,333133560699999;25,132385528800000;35,333148546799997
16;17;Secondary;Φ90;Asbestos Cement pipe;5,824607599500000;25,132037098800001;35,333141427299999;25,132041487900000;35,333167429299998;25,132045876999999;35,333193431300003;25,132041487900000;35,333167429299998
17;18;Main;Φ175;Asbestos Cement pipe;7,795277266130000;25,132037098800001;35,333141427299999;25,131994952599999;35,333147857800000;25,131952806499999;35,333154288199999;25,131994952599999;35,333147857800000
18;19;Main;Φ175;Asbestos Cement pipe;27,324793176099998;25,131952806499999;35,333154288199999;25,131805071300001;35,333176828500001;25,131657336200000;35,333199368800003;25,131805071300001;35,333176828500001
19;20;Main;Φ175;Asbestos Cement pipe;13,329819264399999;25,132481726799998;35,333234416600000;25,132412682300000;35,333214228599999;25,132343637799998;35,333194040599999;25,132412682300000;35,333214228599999
20;21;Main;Φ175;Asbestos Cement pipe;6,491288040470000;25,132343637799998;35,333194040599999;25,132308993799999;35,333186980800001;25,132274349799999;35,333179921000003;25,132308993799999;35,333186980800001
21;22;Main;Φ175;Asbestos Cement pipe;8,324065674600000;25,132274349799999;35,333179921000003;25,132228596800001;35,333178666300000;25,132182843900001;35,333177411599998;25,132228596800001;35,333178666300000
22;23;Main;Φ175;Asbestos Cement pipe;12,578754222800001;25,132182843900001;35,333177411599998;25,132114360500001;35,333185421499998;25,132045876999999;35,333193431300003;25,132114360500001;35,333185421499998
23;24;Tertiary;Φ80;UPVC Pipe;6,000622302560000;25,132494534900001;35,333181359199997;25,132488130900001;35,333207887900002;25,132481726799998;35,333234416600000;25,132488130900001;35,333207887900002
24;25;Secondary;Φ50;Ductile iron pipe;5,960787221890000;25,131664821699999;35,333252744100001;25,131661079000001;35,333226056400001;25,131657336200000;35,333199368800003;25,131661079000001;35,333226056400001
25;26;Main;Φ175;Asbestos Cement pipe;35,263675807399999;25,132045876999999;35,333193431300003;25,131855349399999;35,333223087699999;25,131664821699999;35,333252744100001;25,131855349399999;35,333223087699999
26;27;Main;Φ175;Asbestos Cement pipe;13,288732402500001;25,131657336200000;35,333199368800003;25,131585488900001;35,333210330599996;25,131513641500000;35,333221292399998;25,131585488900001;35,333210330599996
27;28;Main;Φ175;Asbestos Cement pipe;15,806431091400000;25,131513641500000;35,333221292399998;25,131428181800000;35,333234330899998;25,131342722100001;35,333247369399999;25,131428181800000;35,333234330899998
28;29;Main;Φ175;Asbestos Cement pipe;5,567000911780000;25,131342722100001;35,333247369399999;25,131320627200001;35,333264736399997;25,131298532199999;35,333282103499997;25,131320627200001;35,333264736399997
29;30;Main;Φ175;Asbestos Cement pipe;28,575020576499998;25,131664821699999;35,333252744100001;25,131509679600001;35,333273263099997;25,131354537400000;35,333293782200002;25,131509679600001;35,333273263099997
30;31;Main;Φ175;Asbestos Cement pipe;5,254071928070000;25,131354537400000;35,333293782200002;25,131326534799999;35,333287942799998;25,131298532199999;35,333282103499997;25,131326534799999;35,333287942799998
31;32;Tertiary;Φ80;UPVC Pipe;6,284843762760000;25,132481726799998;35,333234416600000;25,132474671899999;35,333262144099997;25,132467617000000;35,333289871500000;25,132474671899999;35,333262144099997
32;33;Main;Φ200;Asbestos Cement pipe;11,189120650200000;25,131298532199999;35,333282103499997;25,131237759499999;35,333290016600003;25,131176986700002;35,333297929799997;25,131237759499999;35,333290016600003
33;34;Main;Φ200;Asbestos Cement pipe;41,011870767700003;25,131176986700002;35,333297929799997;25,130956951200002;35,333338539700001;25,130736915699998;35,333379149700001;25,130956951200002;35,333338539700001
34;35;Secondary;Φ90;Asbestos Cement pipe;21,342665875300000;25,131682963399999;35,333391633300003;25,131566480699998;35,333379793600002;25,131449998099999;35,333367953900002;25,131566480699998;35,333379793600002
35;36;Secondary;Φ90;Asbestos Cement pipe;8,702565870140001;25,131449998099999;35,333367953900002;25,131408195500001;35,333348855899999;25,131366392899999;35,333329757999998;25,131408195500001;35,333348855899999
36;37;Secondary;Φ90;Asbestos Cement pipe;8,125156126149999;25,131366392899999;35,333329757999998;25,131332462600000;35,333305930700000;25,131298532199999;35,333282103499997;25,131332462600000;35,333305930700000
37;38;Secondary;Φ50;Ductile iron pipe;15,497325118299999;25,131682963399999;35,333391633300003;25,131673892500000;35,333322188700002;25,131664821699999;35,333252744100001;25,131673892500000;35,333322188700002
38;39;Secondary;Φ90;Asbestos Cement pipe;24,111936798500000;25,131947811700002;35,333402980999999;25,131815387500001;35,333397307100000;25,131682963399999;35,333391633300003;25,131815387500001;35,333397307100000
39;40;Secondary;Φ90;Asbestos Cement pipe;4,710480570350000;25,132045876999999;35,333193431300003;25,132043860200000;35,333214595500003;25,132041843400000;35,333235759600001;25,132043860200000;35,333214595500003
40;41;Secondary;Φ90;Asbestos Cement pipe;20,427597444000000;25,132041843400000;35,333235759600001;25,131994827600000;35,333319370300003;25,131947811700002;35,333402980999999;25,131994827600000;35,333319370300003
41;42;Main;Φ175;Asbestos Cement pipe;36,645733839499997;25,133088486199998;35,333538263800001;25,132940163600001;35,333426453400001;25,132791841000000;35,333314643100003;25,132940163600001;35,333426453400001
42;43;Main;Φ175;Asbestos Cement pipe;17,345276266599999;25,132791841000000;35,333314643100003;25,132714878600002;35,333268459499998;25,132637916200000;35,333222275899999;25,132714878600002;35,333268459499998
43;44;Main;Φ175;Asbestos Cement pipe;13,803550133000000;25,132637916200000;35,333222275899999;25,132566225600002;35,333201817499997;25,132494534900001;35,333181359199997;25,132566225600002;35,333201817499997
44;45;Main;Φ175;Asbestos Cement pipe;8,881547246129999;25,133042772900001;35,333575967400002;25,133007165399999;35,333548568700003;25,132971557800001;35,333521170099999;25,133007165399999;35,333548568700003
45;46;Main;Φ175;Asbestos Cement pipe;27,069205678100001;25,132971557800001;35,333521170099999;25,132860599200001;35,333439840600001;25,132749640499998;35,333358511199997;25,132860599200001;35,333439840600001
46;47;Main;Φ175;Asbestos Cement pipe;8,307414459309999;25,132749640499998;35,333358511199997;25,132711199199999;35,333338279000003;25,132672757900000;35,333318046899997;25,132711199199999;35,333338279000003
47;48;Main;Φ175;Asbestos Cement pipe;19,690951517500000;25,132672757900000;35,333318046899997;25,132577242299998;35,333276231799999;25,132481726799998;35,333234416600000;25,132577242299998;35,333276231799999
48;49;Tertiary;Φ125;UPVC Pipe;5,896714357640000;25,133042772900001;35,333575967400002;25,133065629499999;35,333557115600001;25,133088486199998;35,333538263800001;25,133065629499999;35,333557115600001
49;50;Tertiary;Φ75;UPVC Pipe;11,293180346500000;25,130650719199998;35,333631217600001;25,130670252500000;35,333582905599997;25,130689785900000;35,333534593600000;25,130670252500000;35,333582905599997
50;51;Tertiary;Φ75;UPVC Pipe;17,770323132100000;25,130689785900000;35,333534593600000;25,130713350800001;35,333456871599999;25,130736915699998;35,333379149700001;25,130713350800001;35,333456871599999
51;52;Main;Φ200;Asbestos Cement pipe;30,411172912200001;25,130736915699998;35,333379149700001;25,130574353499998;35,333411364500002;25,130411791299998;35,333443579300003;25,130574353499998;35,333411364500002
52;53;Main;Φ200;Asbestos Cement pipe;96,716651303999996;25,130411791299998;35,333443579300003;25,129894868600001;35,333546285300002;25,129377945900000;35,333648991200000;25,129894868600001;35,333546285300002
53;54;Tertiary;Φ80;UPVC Pipe;45,642423296799997;25,132467617000000;35,333289871500000;25,132423685100001;35,333492391900002;25,132379753100000;35,333694912299997;25,132423685100001;35,333492391900002
54;55;Secondary;Φ90;Asbestos Cement pipe;16,128377661300000;25,132053284300000;35,333702940199998;25,132028296100000;35,333633198900003;25,132003307900000;35,333563457600000;25,132028296100000;35,333633198900003
55;56;Secondary;Φ90;Asbestos Cement pipe;18,505466581499999;25,132003307900000;35,333563457600000;25,131975559800001;35,333483219300000;25,131947811700002;35,333402980999999;25,131975559800001;35,333483219300000
56;57;Tertiary;Φ80;UPVC Pipe;21,005600239500001;25,132878642800002;35,333699611599997;25,132801576799999;35,333629090000002;25,132724510799999;35,333558568299999;25,132801576799999;35,333629090000002
57;58;Tertiary;Φ125;UPVC Pipe;20,269412580299999;25,132878642800002;35,333699611599997;25,132960707900001;35,333637789500003;25,133042772900001;35,333575967400002;25,132960707900001;35,333637789500003
58;59;Tertiary;Φ80;UPVC Pipe;6,036541572550000;25,132379753100000;35,333694912299997;25,132347256500001;35,333700476600001;25,132314759900002;35,333706040999999;25,132347256500001;35,333700476600001
